scheme_code,scheme_name,Risk
101161, Nippon India Multi Cap Fund-Growth Plan-Growth Option,Low to Moderate
101162, Nippon India Multi Cap Fund-Growth Plan-Bonus Option,Low to Moderate
101163, NIPPON INDIA MULTI CAP FUND - IDCW Option,Low to Moderate
101165, ICICI Prudential Short Term Fund - Monthly IDCW,Low to Moderate
101181, JM Income Fund (Regular) - Bonus Option- Principal Units,Low to Moderate
101186, Tata Income Fund- Regular Plan - Periodic Payout of IDCW Option,Low to Moderate
101206, SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,Low to Moderate
101209, Taurus Largecap Equity Fund - Regular Plan - Growth,Low to Moderate
101221, ICICI Prudential Money Market Fund Retail Growth (erstwhile Cash Option),Low to Moderate
101222, Tata Hybrid Equity Fund- Regular Plan - Periodic Payout of IDCW Option,Low to Moderate
101224, Tata Dynamic Bond Fund- Regular Plan - Payout of IDCW Option,Low to Moderate
101228, ICICI Prudential Multicap Fund - Growth,Low to Moderate
101229, ICICI Prudential Short Term Fund - Institutional Plan - Dividend Monthly,Low to Moderate
101230, ICICI Prudential Short Term Fund-Institutional Plan-Dividend Fortnightly,Low to Moderate
101231, ICICI Prudential Short Term Fund-Institutional Growth,Low to Moderate
101232, Franklin India Short-Term Income Plan-Growth,Low to Moderate
101236, Franklin India Short Term Income Plan -  Retail Plan - Monthly - IDCW,Low to Moderate
101237, Franklin India Short-Term Income Plan-Weekly Bonus,Low to Moderate
101238, Franklin India Short Term Income Plan -  Retail Plan - Quarterly - IDCW,Low to Moderate
101242, Franklin India Short Term Income Plan -  Retail Plan - Weekly - IDCW,Low to Moderate
101244, Franklin India Short-Term Income Plan-Institutional Plan - Growth,Low to Moderate
101246, Franklin India Short-Term Income Plan-Institutional Plan - Monthly Dividend,Low to Moderate
101262, Nippon India Power & Infra Fund-Growth Plan -Growth Option,Low to Moderate
101263, Nippon India Power & Infra Fund-Growth Plan-Bonus Option,Low to Moderate
