scheme_code,scheme_name,Risk,nav,scheme_category,nfund_houseav,scheme_type,fund_house
142669, Franklin India Fixed Maturity Plans- Series 3- Plan B (1139 days)- Dividend -Direct,nan,10.00000,Income,,Close Ended Schemes,Franklin Templeton Mutual Fund
142692, ICICI Prudential Fixed Maturity Plan - Series 82 - 1175 Days Plan Q - Cumulative Option,nan,10.04820,Income,,Close Ended Schemes,ICICI Prudential Mutual Fund
142695, ICICI Prudential Fixed Maturity Plan - Series 82 - 1175 Days Plan Q - Quarterly IDCW Option,nan,10.04820,Income,,Close Ended Schemes,ICICI Prudential Mutual Fund
142696, ICICI Prudential Fixed Maturity Plan - Series 82 - 1175 Days Plan Q - Direct Plan Quarterly IDCW Option,nan,10.05540,Income,,Close Ended Schemes,ICICI Prudential Mutual Fund
142697, ICICI Prudential Fixed Maturity Plan - Series 82 - 1175 Days Plan Q - Direct Plan Half yearly IDCW Option,nan,10.05590,Income,,Close Ended Schemes,ICICI Prudential Mutual Fund
142698, ICICI Prudential Fixed Maturity Plan - Series 82 - 1175 Days Plan Q - Direct Plan Cumulative Option,nan,10.05590,Income,,Close Ended Schemes,ICICI Prudential Mutual Fund
142699, ICICI Prudential Fixed Maturity Plan - Series 82 - 1175 Days Plan Q - Half Yearly IDCW Option,nan,10.04820,Income,,Close Ended Schemes,ICICI Prudential Mutual Fund
142700, IL&FS Infrastructure Debt Fund Series 3A - Dividend payout option - Direct,nan,1041382.01530,IDF,,IL&FS Mutual Fund,IDFC Mutual Fund
142701, IL&FS Infrastructure Debt Fund Series 3A - Growth - Direct,nan,1041382.01530,IDF,,IL&FS Mutual Fund,IDFC Mutual Fund
142702, IL&FS Infrastructure Debt Fund Series 3A - Growth - Regular,nan,1040957.00690,IDF,,IL&FS Mutual Fund,IDFC Mutual Fund
142703, HDFC FMP 1150D March 2018 (1) - IDCW Option - Direct Plan,nan,10.00180,Income,,Close Ended Schemes,HDFC Mutual Fund
142704, HDFC FMP 1150D March 2018 (1) - Quarterly IDCW Option - Direct Plan,nan,10.00180,Income,,Close Ended Schemes,HDFC Mutual Fund
142705, HDFC FMP 1150D March 2018 (1) - IDCW Option,nan,10.00180,Income,,Close Ended Schemes,HDFC Mutual Fund
142706, HDFC FMP 1150D March 2018 (1) - Growth Option,nan,10.00180,Income,,Close Ended Schemes,HDFC Mutual Fund
